,,Absolute_corr
Zind_figap,Zind_actenj,0.3828964290754468
Zind_figap,Zind_compperf,0.33036847271685676
Zind_figap,Zind_con,0.3293230320615574
Zind_figap,Zind_aes,0.29716462862990844
Zind_disstre,Zind_aes,0.24442065930928897
Zind_fitheal,Zind_aes,0.22863941931242127
Zind_compperf,Zind_aes,0.22774990450693416
Zind_disstre,Zind_con,0.22719203299930205
Zind_fitheal,Zind_compperf,0.21382271485931928
Zind_fitheal,Zind_disstre,0.20250240727171032
Zind_con,sport_kat_d2,0.1985703276301706
Zind_fitheal,Zind_con,0.1957453798577997
Zind_actenj,Zind_compperf,0.19523173928825713
Zind_aes,Zind_con,0.18723258721116665
Zind_fitheal,Zind_figap,0.18320899464669133
Zind_fitheal,Zind_actenj,0.1537379952073768
Zind_figap,Zind_disstre,0.1456356997644439
Zind_compperf,sport_kat_d2,0.14095402341179322
Zind_figap,sport_kat_d2,0.14094126405470295
Zind_disstre,Zind_compperf,0.1280709146303926
Zind_actenj,Zind_con,0.10978045629760902
ID_new,Index1,0.09710827381023616
Zind_fitheal,sport_kat_d2,0.09400714321867225
Zind_disstre,Zind_actenj,0.08435533534800824
Zind_actenj,Zind_aes,0.08334678171073175
ID_new,Zind_disstre,0.08028471566126055
Zind_compperf,Zind_con,0.07173326515901451
Index1,Zind_figap,0.05728630467147359
Zind_disstre,sport_kat_d2,0.054059385381261864
ID_new,Zind_actenj,0.04675261096187273
age,Zind_compperf,0.04353518476632968
ID_new,Zind_con,0.042859150077024455
Index1,Zind_aes,0.04184920524943737
Index1,Zind_actenj,0.03410654152464093
ID_new,Zind_aes,0.0336042501665481
age,sport_kat_d2,0.031294570935215774
ID_new,Zind_figap,0.031222002280540777
Zind_actenj,sport_kat_d2,0.029535544545664868
ID_new,Zind_fitheal,0.028258159153933406
age,Zind_fitheal,0.027412306979926603
ID_new,Zind_compperf,0.026691376273095535
Index1,sport_kat_d2,0.0257166752468144
age,Zind_figap,0.025263397520788607
Index1,Zind_compperf,0.02496864036889146
Index1,Zind_fitheal,0.02408918822010756
age,Zind_disstre,0.02389447745148255
age,Zind_con,0.01964353644389713
age,Zind_aes,0.018952828467424566
Zind_aes,sport_kat_d2,0.018531729261354622
age,Zind_actenj,0.01604192957379449
ID_new,sport_kat_d2,0.014830577853806676
Index1,Zind_con,0.01059822170974418
ID_new,age,0.008804534748954644
Index1,age,0.005723275510660363
Index1,Zind_disstre,0.0038332943716153554
