,Raw_missing_cols,Percentage
73748,10,71.4286
73747,10,71.4286
57242,9,64.2857
66529,9,64.2857
54960,9,64.2857
61591,9,64.2857
71714,8,57.1429
69503,8,57.1429
64469,8,57.1429
57111,8,57.1429
59144,8,57.1429
56278,8,57.1429
57097,8,57.1429
76800,8,57.1429
71561,8,57.1429
61299,8,57.1429
72426,8,57.1429
61167,8,57.1429
67622,8,57.1429
74486,8,57.1429
55281,7,50.0
57763,7,50.0
66392,7,50.0
61465,7,50.0
66480,7,50.0
59672,7,50.0
72090,7,50.0
66941,7,50.0
59423,7,50.0
53075,7,50.0
66838,7,50.0
64125,7,50.0
69438,7,50.0
66937,7,50.0
67528,7,50.0
64171,7,50.0
66875,7,50.0
69333,7,50.0
66976,7,50.0
74124,7,50.0
51324,7,50.0
67119,7,50.0
56390,7,50.0
67123,7,50.0
60089,7,50.0
66294,7,50.0
67097,7,50.0
59713,7,50.0
62915,7,50.0
62938,7,50.0
69566,7,50.0
66997,7,50.0
64827,7,50.0
61654,7,50.0
71605,7,50.0
54958,7,50.0
65720,7,50.0
72846,7,50.0
49959,7,50.0
71552,7,50.0
56222,7,50.0
70939,7,50.0
62462,7,50.0
55436,7,50.0
69576,7,50.0
54031,7,50.0
66281,7,50.0
71567,7,50.0
53335,7,50.0
66280,7,50.0
64452,7,50.0
74192,7,50.0
55208,7,50.0
69469,7,50.0
70712,7,50.0
71474,7,50.0
69198,7,50.0
61128,7,50.0
69481,7,50.0
62924,7,50.0
76441,7,50.0
69131,7,50.0
63154,7,50.0
66955,7,50.0
64292,7,50.0
56857,7,50.0
62652,7,50.0
69267,7,50.0
70296,7,50.0
69522,7,50.0
65715,7,50.0
64175,7,50.0
69341,7,50.0
67565,7,50.0
74184,7,50.0
69611,7,50.0
68893,7,50.0
68092,7,50.0
72556,7,50.0
68894,7,50.0
67525,7,50.0
66896,7,50.0
69020,7,50.0
61722,7,50.0
56338,7,50.0
67503,7,50.0
71894,7,50.0
69544,7,50.0
67579,7,50.0
64360,7,50.0
67611,7,50.0
67048,7,50.0
65671,7,50.0
69671,7,50.0
71611,7,50.0
61794,7,50.0
67716,7,50.0
53880,7,50.0
68018,7,50.0
54326,7,50.0
