,"A1 Endurance sport, land-based","A2 Endurance sport, Cycling","A3 Endurance sport, Swimming",B1 Individual Fitness,B2 Group-based Fitness,E Compostional-creative activities,F relaxation-oriented activities,G  Outdoor sports,H1 Team sport games,H2 Net games
0,0.67,0.56,0.34,0.48,0.42,0.38,0.74,0.54,0.03,0.37
1,0.68,0.43,0.43,0.37,0.45,0.42,0.79,0.34,0.02,0.15
2,0.72,0.59,0.53,0.61,0.52,0.23,0.6,0.36,0.03,0.16
3,0.74,0.6,0.5,0.32,0.32,0.22,0.62,0.35,0.03,0.12
4,0.63,0.22,0.25,0.45,0.56,0.1,0.5,0.19,0.02,0.05
5,0.68,0.3,0.17,0.61,0.09,0.03,0.03,0.1,0.07,0.2
6,0.6,0.56,0.52,0.44,0.48,0.57,0.76,0.6,0.04,0.23
7,0.51,0.21,0.18,0.76,0.21,0.34,0.06,0.09,0.48,0.32
8,0.67,0.66,0.49,0.61,0.21,0.05,0.11,0.61,0.33,0.22
9,0.6,0.34,0.56,0.27,0.6,0.19,0.24,0.22,0.02,0.09
10,0.26,0.22,0.19,0.38,0.27,0.11,0.03,0.32,0.79,0.46
11,0.69,0.48,0.28,0.37,0.35,0.18,0.42,0.17,0.02,0.08
12,0.55,0.23,0.37,0.2,0.57,0.35,0.36,0.42,0.07,0.24
13,0.64,0.47,0.39,0.42,0.71,0.39,0.53,0.38,0.04,0.26
14,0.47,0.43,0.54,0.53,0.19,0.06,0.24,0.09,0.12,0.12
15,0.5,0.34,0.58,0.44,0.64,0.51,0.74,0.29,0.05,0.23
16,0.66,0.61,0.39,0.48,0.1,0.1,0.11,0.4,0.27,0.37
17,0.58,0.41,0.37,0.54,0.57,0.26,0.78,0.21,0.02,0.11
18,0.18,0.2,0.14,0.51,0.08,0.04,0.02,0.33,0.85,0.51
19,0.39,0.34,0.26,0.36,0.11,0.15,0.07,0.29,0.51,0.41
20,0.31,0.21,0.21,0.71,0.23,0.45,0.09,0.08,0.37,0.29
21,0.66,0.47,0.55,0.36,0.46,0.35,0.78,0.21,0.04,0.16
22,0.19,0.22,0.17,0.63,0.07,0.1,0.03,0.09,0.93,0.59
23,0.2,0.17,0.1,0.32,0.1,0.28,0.03,0.31,0.89,0.5
24,0.36,0.2,0.14,0.46,0.23,0.07,0.51,0.11,0.03,0.08
25,0.34,0.4,0.16,0.2,0.13,0.31,0.08,0.46,0.55,0.56
26,0.67,0.48,0.42,0.42,0.41,0.15,0.71,0.19,0.04,0.12
27,0.7,0.55,0.45,0.36,0.44,0.12,0.58,0.49,0.09,0.19
28,0.52,0.37,0.33,0.54,0.37,0.19,0.14,0.38,0.65,0.51
29,0.33,0.22,0.46,0.22,0.69,0.54,0.29,0.36,0.14,0.26
30,0.71,0.23,0.37,0.34,0.35,0.05,0.27,0.07,0.05,0.07
31,0.71,0.55,0.4,0.5,0.11,0.03,0.04,0.4,0.24,0.24
32,0.31,0.15,0.19,0.52,0.55,0.37,0.22,0.09,0.04,0.13
33,0.34,0.39,0.33,0.49,0.2,0.04,0.06,0.16,0.26,0.38
34,0.63,0.7,0.34,0.38,0.14,0.09,0.13,0.51,0.14,0.28
35,0.57,0.43,0.46,0.62,0.49,0.31,0.42,0.38,0.05,0.23
36,0.41,0.36,0.24,0.67,0.13,0.13,0.06,0.61,0.71,0.57
37,0.25,0.11,0.12,0.45,0.17,0.12,0.13,0.11,0.17,0.2
38,0.48,0.36,0.47,0.24,0.49,0.78,0.7,0.49,0.07,0.34
39,0.52,0.46,0.19,0.54,0.24,0.06,0.03,0.1,0.07,0.21
40,0.2,0.16,0.11,0.81,0.09,0.05,0.04,0.05,0.86,0.38
41,0.41,0.27,0.39,0.55,0.58,0.23,0.47,0.17,0.04,0.09
42,0.39,0.4,0.37,0.6,0.55,0.44,0.4,0.36,0.18,0.41
43,0.4,0.38,0.18,0.51,0.16,0.05,0.08,0.28,0.59,0.46
44,0.23,0.12,0.23,0.31,0.14,0.16,0.06,0.13,0.4,0.19
45,0.49,0.51,0.19,0.5,0.34,0.14,0.07,0.38,0.18,0.62
46,0.37,0.23,0.38,0.43,0.61,0.28,0.45,0.15,0.06,0.27
47,0.52,0.27,0.3,0.7,0.37,0.58,0.28,0.26,0.1,0.25
48,0.63,0.5,0.46,0.32,0.42,0.55,0.7,0.74,0.05,0.2
49,0.52,0.55,0.44,0.37,0.42,0.79,0.63,0.78,0.08,0.25
50,0.56,0.46,0.55,0.45,0.46,0.5,0.8,0.27,0.06,0.27
51,0.47,0.24,0.17,0.61,0.07,0.08,0.03,0.34,0.79,0.45
52,0.42,0.25,0.38,0.4,0.52,0.14,0.69,0.13,0.03,0.13
53,0.64,0.42,0.51,0.42,0.59,0.23,0.53,0.14,0.03,0.19
54,0.74,0.58,0.34,0.51,0.5,0.38,0.68,0.33,0.03,0.13
55,0.22,0.35,0.1,0.29,0.07,0.13,0.03,0.46,0.81,0.35
56,0.53,0.47,0.52,0.33,0.21,0.07,0.09,0.33,0.11,0.36
57,0.56,0.45,0.43,0.52,0.61,0.31,0.73,0.26,0.02,0.24
58,0.64,0.42,0.42,0.51,0.46,0.23,0.8,0.28,0.02,0.16
59,0.6,0.48,0.35,0.63,0.42,0.31,0.54,0.33,0.06,0.12
60,0.72,0.66,0.53,0.46,0.23,0.51,0.78,0.55,0.03,0.18
61,0.54,0.54,0.09,0.32,0.17,0.03,0.07,0.13,0.09,0.11
62,0.43,0.28,0.28,0.31,0.18,0.08,0.19,0.39,0.14,0.26
63,0.58,0.21,0.35,0.7,0.14,0.29,0.13,0.14,0.47,0.46
64,0.44,0.26,0.44,0.31,0.53,0.35,0.67,0.17,0.05,0.15
65,0.46,0.19,0.18,0.57,0.21,0.16,0.14,0.1,0.11,0.17
66,0.69,0.73,0.45,0.51,0.09,0.06,0.1,0.59,0.16,0.22
67,0.63,0.38,0.4,0.48,0.49,0.18,0.53,0.09,0.02,0.07
68,0.63,0.59,0.51,0.63,0.62,0.18,0.66,0.45,0.09,0.34
69,0.42,0.21,0.27,0.31,0.31,0.4,0.36,0.2,0.08,0.23
70,0.51,0.47,0.35,0.28,0.43,0.72,0.68,0.26,0.03,0.14
71,0.39,0.3,0.32,0.62,0.1,0.17,0.06,0.51,0.85,0.71
72,0.63,0.63,0.48,0.62,0.1,0.08,0.12,0.42,0.28,0.22
73,0.35,0.31,0.47,0.48,0.58,0.24,0.72,0.12,0.02,0.08
74,0.21,0.26,0.14,0.35,0.12,0.25,0.03,0.55,0.85,0.45
75,0.39,0.39,0.38,0.55,0.65,0.22,0.57,0.16,0.03,0.19
76,0.48,0.47,0.25,0.64,0.36,0.11,0.64,0.51,0.05,0.33
77,0.57,0.44,0.5,0.32,0.41,0.29,0.64,0.15,0.03,0.12
78,0.31,0.16,0.18,0.85,0.09,0.05,0.04,0.14,0.5,0.11
79,0.72,0.55,0.41,0.57,0.47,0.11,0.58,0.47,0.1,0.2
80,0.55,0.29,0.08,0.28,0.39,0.04,0.05,0.19,0.13,0.43
81,0.42,0.15,0.28,0.26,0.41,0.59,0.27,0.21,0.1,0.31
82,0.67,0.58,0.57,0.47,0.36,0.4,0.67,0.48,0.04,0.12
83,0.69,0.75,0.37,0.49,0.17,0.03,0.25,0.57,0.07,0.24
84,0.46,0.26,0.21,0.69,0.2,0.25,0.07,0.25,0.54,0.52
85,0.45,0.31,0.28,0.3,0.51,0.22,0.58,0.09,0.02,0.07
86,0.57,0.36,0.37,0.29,0.37,0.13,0.4,0.05,0.02,0.05
87,0.6,0.65,0.44,0.34,0.36,0.48,0.64,0.75,0.05,0.36
88,0.36,0.14,0.33,0.27,0.44,0.66,0.26,0.33,0.08,0.35
89,0.36,0.29,0.19,0.22,0.15,0.07,0.05,0.09,0.35,0.53
90,0.73,0.79,0.37,0.48,0.15,0.08,0.13,0.52,0.08,0.25
91,0.35,0.29,0.23,0.51,0.62,0.37,0.17,0.31,0.43,0.38
92,0.22,0.2,0.18,0.3,0.28,0.73,0.05,0.21,0.43,0.31
93,0.4,0.32,0.24,0.47,0.24,0.74,0.08,0.23,0.41,0.52
94,0.53,0.44,0.44,0.56,0.54,0.26,0.52,0.26,0.06,0.31
95,0.52,0.42,0.52,0.57,0.53,0.78,0.67,0.64,0.09,0.25
96,0.73,0.63,0.48,0.52,0.5,0.27,0.7,0.41,0.05,0.23
97,0.58,0.25,0.34,0.67,0.28,0.3,0.36,0.16,0.06,0.13
98,0.42,0.15,0.25,0.48,0.23,0.38,0.09,0.38,0.53,0.31
99,0.75,0.61,0.6,0.54,0.33,0.43,0.69,0.47,0.02,0.15
100,0.55,0.48,0.43,0.43,0.31,0.29,0.48,0.33,0.07,0.54
101,0.65,0.48,0.48,0.5,0.52,0.23,0.76,0.24,0.04,0.12
102,0.45,0.18,0.27,0.59,0.29,0.59,0.28,0.25,0.23,0.46
103,0.66,0.47,0.58,0.68,0.5,0.32,0.67,0.45,0.07,0.12
104,0.55,0.55,0.32,0.44,0.26,0.77,0.37,0.75,0.16,0.49
105,0.33,0.13,0.1,0.42,0.08,0.09,0.04,0.25,0.73,0.33
